benchmark,fork,classification,steady_state_starts,technique,last_warmup_it,last_measure_it,timewaste,interval
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,0,steady state,1323,Dev,499,749,-82.40632759349865,"(0.9327244885730496, 0.9570084371780302)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,1,no steady state,2782,Dev,499,749,-228.3180867405507,"(1.0664995692933332, 1.076222596162699)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,2,no steady state,2567,Dev,499,749,-206.81579963006212,"(0.9760621967788782, 1.0006438035061134)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,3,no steady state,2559,Dev,499,749,-206.0159091531475,"(1.0115152147491318, 1.048939160771928)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,4,no steady state,2688,Dev,499,749,-218.91612485540963,"(0.9196591021708052, 0.9632755787222702)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,5,steady state,2227,Dev,499,749,-172.81351865289923,"(1.0478748144394183, 1.0694039168774907)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,6,steady state,1908,Dev,499,749,-140.91171572330182,"(0.906012365057072, 0.9238230180682032)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,7,no steady state,2718,Dev,499,749,-221.91852815440143,"(1.075900324375864, 1.1186135872280116)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,8,no steady state,2748,Dev,499,749,-224.91783308384794,"(1.0361174366013577, 1.0848350497755679)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,9,steady state,0,Dev,499,749,49.9038055413875,"(1.0407981579604317, 1.0520260687144294)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,0,steady state,214,Dev,477,527,28.623126527999993,"(1.004036780172507, 1.007448758931851)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,1,steady state,0,Dev,459,509,49.97393612800004,"(1.0047764088808893, 1.0061134290061626)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,2,steady state,0,Dev,461,511,50.16610406399997,"(1.004629162534499, 1.006058046119954)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,3,steady state,0,Dev,460,510,50.05993574400001,"(1.0048291591525458, 1.0061428266010137)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,4,steady state,0,Dev,460,510,50.073649151999945,"(1.0050905067922906, 1.006518045111236)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,5,steady state,0,Dev,459,509,49.959682048000005,"(1.0050252738570953, 1.0063735432348027)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,6,steady state,0,Dev,460,510,50.08061235200002,"(1.0046793606549207, 1.0057602667179621)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,7,no steady state,2527,Dev,460,510,-224.848150528,"(0.9549187977741155, 0.9563976548746667)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,8,steady state,0,Dev,460,510,50.06857011199996,"(1.0023682592147103, 1.0038293769239324)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,9,steady state,0,Dev,460,510,50.06924185600001,"(1.0052893172984005, 1.0068326363432292)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,0,steady state,2381,Dev,499,549,-188.21985679122326,"(0.993534669439871, 0.9956649215317122)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,1,steady state,0,Dev,499,549,49.905035206418326,"(0.9994394243979355, 1.001110257250524)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,2,steady state,0,Dev,499,549,49.90519736548278,"(1.0001480797384141, 1.0004321090836688)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,3,steady state,0,Dev,499,549,49.905272687100435,"(0.9993903675265184, 1.0041921674133714)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,4,steady state,0,Dev,499,549,49.90484714182311,"(0.9995410879589142, 1.0004060342902863)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,5,steady state,0,Dev,499,549,49.90512536439519,"(0.9918714359912814, 0.9937661672882554)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,6,steady state,0,Dev,499,549,49.90515140483564,"(0.9991579742414878, 1.0011575155142896)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,7,steady state,0,Dev,499,549,49.90522624734087,"(0.9996193519290403, 1.0004139053944874)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,8,steady state,0,Dev,499,549,49.90538638906431,"(0.998790633555856, 1.000111955139385)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenRangePerf.observable#times=1000,9,steady state,1589,Dev,499,549,-109.01246154180612,"(0.9996228361708106, 1.000375092141999)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,0,steady state,25,Dev,6,11,-203.25597183999997,"(1.5369417661932092, 3.047831210182898)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,1,no steady state,2991,Dev,7,12,-20973.23966464,"(0.9162254668619341, 0.9407745117355262)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,2,steady state,6,Dev,9,14,20.619198464000014,"(0.9685209420946207, 0.9793013690641759)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,3,no steady state,2832,Dev,9,14,-20381.029105663954,"(0.94310858014221, 0.9590694377820832)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,4,steady state,1925,Dev,8,13,-13581.726777343998,"(0.9552917905298421, 0.9777966448158999)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,5,no steady state,2984,Dev,9,14,-20971.98976204799,"(0.9033852320492296, 0.9517559938411907)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,6,no steady state,2952,Dev,4,9,-21046.91680870401,"(0.8168393296802965, 1.0953460026103707)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,7,steady state,16,Dev,5,10,-176.64730726400006,"(1.9863243434789835, 2.9115095092983223)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,8,steady state,10,Dev,7,12,-33.965473792,"(1.0925508786047893, 1.7460473054021188)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,9,steady state,465,Dev,9,14,-3197.9219189759997,"(0.9725391802737191, 0.9860834206673025)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,0,steady state,0,Dev,19,24,60.28053708800001,"(0.991191263112516, 0.9962890123012016)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,1,steady state,0,Dev,19,24,60.666413056,"(0.9882317839814421, 1.0033623781057268)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,2,steady state,0,Dev,19,24,61.400416256,"(0.9591176072955186, 0.9784710166762098)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,3,steady state,0,Dev,19,24,60.532195328,"(0.9795746299304665, 1.0075477293138444)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,4,steady state,0,Dev,19,24,60.960014336,"(0.9930798794632758, 1.0085200123468505)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,5,steady state,0,Dev,19,24,60.997763072,"(0.9841270675872771, 1.00021697293779)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=32&work=100,6,steady state,0,Dev,19,24,60.997763072000005,"(1.0010930441513175, 1.0182131738989018)"
