benchmark,fork,ci,timewaste
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,0,"(0.6957859200321095, 1.6215939717995775)",-106.93628172359111
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,2,"(0.9338182543852768, 1.2141784661785942)",-175.14983310487483
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,3,"(0.9274548822226372, 1.4252699769000694)",32.20899517715877
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,4,"(1.0153641679891439, 1.302242454984983)",-11.304358944402843
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,5,"(0.862021992733785, 1.5957292870144044)",36.416435686912735
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,7,"(0.9366380219594607, 1.2499314632980112)",29.210895734415864
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,8,"(1.1292559323626854, 1.5922583983954026)",-52.81790915811527
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,9,"(1.0179742255603748, 1.3729381120087942)",-32.511145286946736
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,1,"(0.9933646087325554, 0.997301912842983)",49.900019669292156
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,2,"(0.9975371828478953, 1.0006918496175516)",49.90001896803988
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,3,"(0.9976840520944392, 1.0004809201560911)",49.90001750413391
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,4,"(0.998537225597508, 1.002403472458288)",49.60001896824851
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,5,"(0.995477869460369, 0.9983494918496184)",49.90001843167672
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,6,"(0.997951932491383, 1.000656676771624)",49.90001896100902
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,7,"(0.9976775678570556, 1.0007395902137521)",49.90001918855929
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,8,"(0.995457621198047, 0.9984389517881814)",49.90001860633352
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,9,"(0.9923059423332518, 0.9984444194991116)",49.900019658332845
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,0,"(0.5467955666093304, 1.0069878155522591)",49.902469845123164
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1,"(0.6155971805075428, 4.744832071852089)",49.902258112324176
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,2,"(0.595832729050033, 1.0075190991373713)",-32.601587095392695
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,3,"(0.4782632148969697, 1.0015853189134316)",49.90299939610324
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,4,"(0.42584366096462073, 2.356746054646811)",-72.0051394991562
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,5,"(0.4786508755208109, 2.9247672924561963)",49.902326091083445
