benchmark,fork,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,0,"(1.1486516274212448, 1.508489001455181)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1,"(0.888238785959738, 1.4480753553060506)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,2,"(0.687441620768862, 1.3511959739603776)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,3,"(0.686518177995042, 1.2494923917069447)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,4,"(0.7132026251913168, 1.3489955949863541)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,5,"(0.7125905316822233, 1.3564106670702203)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,6,"(0.6996653780725451, 1.2484001652510928)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,7,"(0.7012269033754879, 1.262466539803093)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,8,"(0.7010641867426677, 1.2802113245016942)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,9,"(0.7036608645198108, 1.277371716019231)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,0,"(1.1276833729242592, 1.372171281178125)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,1,"(1.189162390271335, 1.675753756280911)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,2,"(1.246986449891091, 1.6673863308814498)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,3,"(1.2303677236666326, 1.6172170650662607)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,4,"(1.1396028758063084, 1.5720370919698932)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,5,"(1.1803115081048756, 1.5840946276973107)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,6,"(1.2126667448741981, 1.5987979335509934)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,7,"(1.2298540003635254, 1.6054192179868447)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,8,"(1.223632772446626, 1.5880851102025013)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2,9,"(1.244283070908606, 1.5944623049116795)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,0,"(1.3799622128068672, 1.5360853009068267)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,1,"(1.3752185418719425, 1.5307225966923486)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,2,"(1.0926570640278794, 1.5151512183164397)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,3,"(1.0719160968045893, 1.4829510687065508)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,4,"(1.0590861760693917, 1.4152767705449074)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,5,"(1.0979449073719354, 1.4344985536236923)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,6,"(1.134436628194263, 1.4501326309760212)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,7,"(1.1748170438201742, 1.5407230584781941)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,8,"(1.1564712397022912, 1.5080725680929776)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2,9,"(1.194345985513285, 1.568313170516989)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,0,"(1.3511649532435515, 1.3615984025370307)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,1,"(1.3516548813723506, 1.3621457069403748)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,2,"(1.0556837505213987, 1.3607968569646844)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,3,"(1.130562590468226, 1.361928537122939)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,4,"(1.17624032005819, 1.3679906456966056)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,5,"(1.1534609287199884, 1.3639380181612666)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,6,"(1.1810102858115878, 1.3622772499300524)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,7,"(1.048435279904107, 1.329164294284924)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=3,8,"(1.0487115633709616, 1.3988468423733438)"
