benchmark,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,"(0.529588508527015, 0.9948129241885058)"
HdrHistogram__HdrHistogram#bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed#,"(0.9952694982719055, 0.9988927662209589)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,"(0.8651815239458349, 1.121878020163159)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3,"(1.0012917299099429, 1.0145045566648259)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,"(1.2392463819718587, 2.1498528633542184)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,"(0.8019264505710773, 1.1057070436090557)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,"(0.7652610465326507, 1.1093262379653228)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,"(0.8869946473607518, 1.1123513877528672)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3,"(0.991697846774946, 1.0007645033297496)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,"(0.9013768414076087, 1.1522521936764583)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,"(0.8830071693981372, 1.1668344317345272)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2,"(0.9149355514535884, 1.2655784361609794)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2,"(0.8096829859056645, 1.095141618413477)"
JCTools__JCTools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,"(1.22724772976524, 1.2354789227310499)"
JCTools__JCTools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpscArrayQueue&warmup=true,"(1.5631683935108265, 1.6205424388391805)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=100&qType=SpscArrayQueue,"(0.903156987406325, 0.9417512426214838)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,"(0.8441642237836935, 0.847886049348755)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,"(1.3022867791508397, 1.398900281095056)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=SpmcArrayQueue,"(0.9152019378308344, 0.9372635121902396)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline#limit=128000,"(0.9526293619190798, 0.9766837236044345)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=10&qType=MpscArrayQueue,"(1.3041457452423875, 1.380412047628753)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=MpscArrayQueue,"(1.0933936981965366, 1.1318803281717011)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1000&qType=MpscArrayQueue,"(1.1350819451316017, 1.1828536096552287)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=MpmcArrayQueue&warmup=true,"(1.2457752318182638, 1.3124939483794638)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline#limit=128000,"(0.9858502097835887, 1.014258880856547)"
JCTools__JCTools#org.jctools.jmh.latency.MpqBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,"(1.482797769646803, 1.5257049867107217)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=1,"(0.9443953073890992, 0.9677192898223627)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000,"(0.9565690810301907, 0.9826298267913233)"
JCTools__JCTools#org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=10000,"(1.0692253838116414, 1.1119544859137573)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineCompletable#,"(1.0294187378629693, 3.002463674104024)"
ReactiveX__RxJava#io.reactivex.rxjava3.parallel.ParallelPerf.groupBy#compute=100&count=10000&parallelism=3,"(0.9782446875754428, 1.0021433570101717)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10,"(0.9635874563435015, 0.9746001448485391)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000,"(1.0074120751842277, 1.008804605926048)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1#times=10000,"(1.0005769673424494, 1.009189490164229)"
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableConvert#count=10000,"(0.997135266348769, 1.0047450090508179)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0#times=100000,"(0.9945405271388866, 1.0014684473326905)"
ReactiveX__RxJava#io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable0#times=10,"(0.9250101655955768, 1.0229539078412653)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.bithacking.UnsignedVSFlip.flipTimeAvg#key=65,"(0.8570739932442275, 0.8684133721143115)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.aggregation.andnot.worstcase.Roaring64BitmapBenchmark.inplace_andNot#,"(1.0028124136594199, 1.012128828088921)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.equals.EqualsBenchmark.arrayVsArrayEquals#firstMismatch=0.1&size=2000,"(0.8853828736863549, 0.8896467894638249)"
RoaringBitmap__RoaringBitmap#org.roaringbitmap.cardinality64.Cardinality64Benchmark.getCardinalityWithoutCache_Small#,"(0.9732319277100951, 0.9777666066537709)"
apache__arrow#org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength#,"(0.9645114694053338, 1.0449011734279003)"
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark#,"(0.9748785384787666, 0.976644610065703)"
apache__arrow#org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.consumeBenchmark#,"(0.9996408236125005, 1.015276546424981)"
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark#,"(0.8103761137616338, 0.8137815038291057)"
apache__arrow#org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity#,"(1.2293745087189023, 1.2357705583594023)"
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark#,"(1.0436770931861548, 1.0460107570964996)"
apache__camel#org.apache.camel.itest.jmh.FastTypeConverterTest.typeConvertByteBufToArray#,"(1.0409850641492289, 1.1929643040190312)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToInputStream#,"(1.0359855017559116, 1.0741853177075031)"
apache__camel#org.apache.camel.itest.jmh.SimpleExpressionTest.simpleExpression#,"(0.9935073989468383, 1.005017269055186)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertTheSameTypes#,"(0.9623655250144754, 0.9690039784883896)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToDocument#,"(0.9722060298782308, 0.9829957750262968)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToByteArray#,"(0.9686127167968914, 1.0090151780275216)"
apache__camel#org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest#,"(0.9571665968952309, 1.0445592834893183)"
apache__camel#org.apache.camel.itest.jmh.SimpleOperatorTest.simplePredicate#,"(0.9829246761066411, 0.9927428209135728)"
apache__camel#org.apache.camel.itest.jmh.TypeConverterTest.typeConvertInputStreamToString#,"(0.9843667928930243, 1.0285642048915273)"
apache__hive#org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCount#aggregation=max&dataType=string&evalMode=COMPLETE&hasNulls=false&isRepeating=false&processMode=HASH,"(1.0241254952882883, 1.0285342392119403)"
