project,benchmark,params,warmupTime,measurementTime,warmupIterations,measurementIterations,forks,warmupTimeSec,measurementTimeSec,warmupIterationsTime,measurementIterationsTime,forkTime,time
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,,1 s,1 s,5,5,5,1.0,1.0,5.0,5.0,10.0,50.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=case1&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=case2&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=case3&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=longestjHiccupLine&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=sparsed1&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=sumOfjHiccupLines&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=case2&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=case3&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=sparsed1&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=3,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,latencySeriesName=case3&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.roundtripCompressed,latencySeriesName=cubic&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
HdrHistogram/HdrHistogram,bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,latencySeriesName=case3&numberOfSignificantValueDigits=2,1 s,1 s,5,5,3,1.0,1.0,5.0,5.0,10.0,30.0
JCTools/JCTools,org.jctools.jmh.collections.SetOps.contains,keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet,1 s,1 s,3,5,5,1.0,1.0,3.0,5.0,8.0,40.0
JCTools/JCTools,org.jctools.jmh.latency.MpqBurstCost.burstCost,burstSize=100&consumerCount=1&qCapacity=132000&qType=SpscArrayQueue&warmup=true,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
JCTools/JCTools,org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost,burstSize=100&qType=SpscArrayQueue,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
JCTools/JCTools,org.jctools.jmh.baseline.SingleThreadedPoll.poll,qType=MpscArrayQueue,1 s,1 s,3,5,5,1.0,1.0,3.0,5.0,8.0,40.0
JCTools/JCTools,org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline,limit=128000,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
JCTools/JCTools,org.jctools.jmh.latency.QueueBurstCost.burstCost,burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
JCTools/JCTools,org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline,limit=128000,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
JCTools/JCTools,org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost,burstSize=1&qType=SpmcArrayQueue,1 s,1 s,10,10,5,1.0,1.0,10.0,10.0,20.0,100.0
