project,Cov,Ci,Divergence
arrow,<0.001(0.48),0.145(0.5),<0.001(0.46)
byte-buddy,<0.001(0.53),0.005(0.6),<0.001(0.53)
camel,<0.001(0.44),<0.001(0.5),<0.001(0.4)
cantaloupe,<0.001(0.66),<0.001(0.67),<0.001(0.67)
client_java,0.001(0.54),0.048(0.55),<0.001(0.53)
crate,<0.001(0.48),0.346(0.51),<0.001(0.46)
eclipse-collections,<0.001(0.53),0.295(0.55),<0.001(0.5)
h2o-3,<0.001(0.5),0.019(0.56),<0.001(0.5)
hazelcast,<0.001(0.76),<0.001(0.77),0.008(0.76)
HdrHistogram,0.296(0.6),0.007(0.61),0.012(0.6)
hive,<0.001(0.52),<0.001(0.52),0.002(0.52)
imglib2,<0.001(0.8),<0.001(0.78),<0.001(0.76)
JCTools,0.739(0.6),0.031(0.59),0.042(0.57)
jdbi,<0.001(0.54),0.282(0.63),<0.001(0.54)
jetty.project,0.006(0.69),<0.001(0.69),0.019(0.66)
jgrapht,0.002(0.52),0.114(0.53),0.179(0.51)
kafka,<0.001(0.44),0.076(0.5),<0.001(0.41)
logbook,<0.001(0.44),0.004(0.51),<0.001(0.39)
logging-log4j2,0.079(0.54),0.334(0.54),0.007(0.51)
netty,<0.001(0.48),0.059(0.51),<0.001(0.44)
presto,0.753(0.63),<0.001(0.66),0.021(0.63)
protostuff,<0.001(0.79),<0.001(0.82),<0.001(0.78)
r2dbc-h2,<0.001(0.84),<0.001(0.87),<0.001(0.82)
rdf4j,<0.001(0.45),0.827(0.49),0.007(0.47)
RoaringBitmap,<0.001(0.51),<0.001(0.53),<0.001(0.48)
RxJava,0.003(0.49),0.35(0.52),0.003(0.5)
SquidLib,<0.001(0.41),0.003(0.45),<0.001(0.42)
tinkerpop,<0.001(0.51),0.044(0.6),<0.001(0.47)
vert.x,0.039(0.54),0.001(0.57),<0.001(0.5)
zipkin,<0.001(0.78),<0.001(0.8),<0.001(0.75)
Total,<0.001(0.57),<0.001(0.6),<0.001(0.55)
