project,Cov,Ci,Divergence
arrow,<0.001(0.95),0.003(0.86),<0.001(0.92)
byte-buddy,0.321(0.82),<0.001(0.64),0.01(0.8)
camel,0.25(0.89),0.264(0.76),<0.001(0.86)
cantaloupe,<0.001(0.46),<0.001(0.36),<0.001(0.36)
client_java,0.019(0.88),0.01(0.66),0.154(0.88)
crate,0.405(0.86),0.097(0.74),0.063(0.82)
eclipse-collections,0.007(0.85),0.163(0.72),0.43(0.77)
h2o-3,0.025(0.86),0.321(0.78),0.003(0.79)
hazelcast,0.014(0.73),0.147(0.66),0.527(0.73)
HdrHistogram,0.023(0.65),0.282(0.6),0.346(0.58)
hive,<0.001(0.38),<0.001(0.36),<0.001(0.33)
imglib2,0.094(0.74),0.279(0.66),0.225(0.64)
JCTools,<0.001(0.7),0.719(0.63),<0.001(0.65)
jdbi,0.091(0.84),0.136(0.75),0.052(0.81)
jetty.project,0.867(0.66),0.265(0.57),0.357(0.63)
jgrapht,0.261(0.89),0.492(0.71),<0.001(0.77)
kafka,0.019(0.82),0.655(0.72),0.225(0.77)
logbook,0.002(0.89),<0.001(0.67),0.001(0.84)
logging-log4j2,<0.001(0.89),0.304(0.76),<0.001(0.86)
netty,<0.001(0.86),<0.001(0.77),<0.001(0.84)
presto,0.181(0.68),<0.001(0.59),<0.001(0.56)
protostuff,0.14(0.63),0.645(0.5),0.294(0.58)
r2dbc-h2,<0.001(0.72),<0.001(0.63),0.988(0.71)
rdf4j,0.361(0.86),0.076(0.69),0.534(0.76)
RoaringBitmap,<0.001(0.93),0.204(0.9),<0.001(0.88)
RxJava,0.034(0.91),0.002(0.87),<0.001(0.86)
SquidLib,0.001(0.79),0.009(0.74),0.01(0.77)
tinkerpop,0.215(0.83),0.131(0.7),0.803(0.75)
vert.x,0.7(0.85),<0.001(0.57),0.355(0.81)
zipkin,0.53(0.81),0.064(0.67),0.372(0.76)
Total,0.047(0.79),<0.001(0.68),<0.001(0.74)
