project,Cov,Ci,Divergence
arrow,<0.001(0.87),<0.001(0.63),<0.001(0.87)
byte-buddy,0.002(0.56),<0.001(0.21),<0.001(0.59)
camel,<0.001(0.75),0.002(0.49),<0.001(0.77)
cantaloupe,<0.001(0.22),<0.001(0.05),<0.001(0.06)
client_java,<0.001(0.66),<0.001(0.21),<0.001(0.66)
crate,<0.001(0.62),<0.001(0.41),<0.001(0.65)
eclipse-collections,<0.001(0.59),<0.001(0.42),<0.001(0.58)
h2o-3,<0.001(0.62),<0.001(0.44),0.005(0.57)
hazelcast,<0.001(0.39),<0.001(0.32),0.078(0.45)
HdrHistogram,<0.001(0.34),<0.001(0.25),<0.001(0.33)
hive,<0.001(0.06),<0.001(0.06),<0.001(0.06)
imglib2,<0.001(0.4),<0.001(0.34),<0.001(0.39)
JCTools,<0.001(0.36),<0.001(0.27),0.002(0.42)
jdbi,<0.001(0.65),0.004(0.47),0.002(0.63)
jetty.project,<0.001(0.37),<0.001(0.28),<0.001(0.42)
jgrapht,<0.001(0.67),<0.001(0.37),0.363(0.61)
kafka,<0.001(0.65),0.18(0.5),<0.001(0.64)
logbook,<0.001(0.76),<0.001(0.33),<0.001(0.75)
logging-log4j2,<0.001(0.75),0.525(0.52),<0.001(0.75)
netty,<0.001(0.69),<0.001(0.58),<0.001(0.74)
presto,0.075(0.41),<0.001(0.15),<0.001(0.3)
protostuff,<0.001(0.34),<0.001(0.23),<0.001(0.35)
r2dbc-h2,<0.001(0.2),<0.001(0.05),<0.001(0.35)
rdf4j,<0.001(0.7),0.383(0.35),0.25(0.58)
RoaringBitmap,<0.001(0.83),<0.001(0.71),<0.001(0.8)
RxJava,<0.001(0.72),0.021(0.6),<0.001(0.72)
SquidLib,<0.001(0.67),<0.001(0.53),<0.001(0.64)
tinkerpop,0.33(0.49),<0.001(0.32),0.008(0.52)
vert.x,0.958(0.5),<0.001(0.13),0.03(0.62)
zipkin,<0.001(0.31),<0.001(0.2),<0.001(0.41)
Total,<0.001(0.55),<0.001(0.36),<0.001(0.55)
