project,Cov,Ci,Divergence
arrow,0.015(0.29),0.285(0.45),0.046(0.37)
byte-buddy,0.084(0.46),0.015(0.73),0.196(0.46)
camel,0.001(0.19),0.18(0.55),<0.001(0.11)
cantaloupe,0.001(0.79),0.001(0.83),0.002(0.81)
client_java,0.008(0.4),0.043(0.57),<0.001(0.29)
crate,0.131(0.4),0.735(0.5),0.114(0.42)
eclipse-collections,0.002(0.2),0.347(0.48),0.005(0.29)
h2o-3,0.002(0.25),0.069(0.58),0.05(0.39)
hazelcast,0.004(0.76),0.004(0.8),0.009(0.71)
HdrHistogram,0.776(0.44),0.074(0.67),0.028(0.61)
hive,0.03(0.72),0.031(0.73),0.056(0.69)
imglib2,0.035(0.59),0.068(0.56),0.015(0.59)
JCTools,0.144(0.45),0.655(0.5),0.317(0.53)
jdbi,0.055(0.3),0.025(0.71),0.087(0.32)
jetty.project,0.064(0.65),0.003(0.76),0.099(0.66)
jgrapht,0.756(0.51),0.311(0.61),0.51(0.58)
kafka,<0.001(0.15),0.018(0.68),0.002(0.24)
logbook,0.046(0.36),0.037(0.66),0.019(0.26)
logging-log4j2,0.463(0.41),0.18(0.53),0.31(0.39)
netty,0.091(0.4),0.028(0.65),0.055(0.37)
presto,0.861(0.53),0.026(0.67),0.041(0.61)
protostuff,<0.001(0.73),<0.001(0.88),0.001(0.74)
r2dbc-h2,0.006(0.76),<0.001(0.88),0.013(0.68)
rdf4j,0.015(0.38),0.48(0.58),0.551(0.47)
RoaringBitmap,0.001(0.24),0.009(0.4),0.028(0.34)
RxJava,0.463(0.51),0.005(0.71),0.959(0.52)
SquidLib,0.011(0.31),0.861(0.53),0.079(0.36)
tinkerpop,<0.001(0.12),0.155(0.62),<0.001(0.14)
vert.x,0.114(0.66),0.005(0.79),0.286(0.62)
zipkin,0.148(0.58),0.005(0.73),0.14(0.56)
Total,<0.001(0.45),<0.001(0.64),0.186(0.47)
