project,Cov,Ci,Divergence
arrow,<0.001(1.0),<0.001(1.0),<0.001(1.0)
byte-buddy,<0.001(1.0),<0.001(1.0),<0.001(1.0)
camel,<0.001(1.0),<0.001(1.0),<0.001(1.0)
cantaloupe,<0.001(0.0),<0.001(0.0),<0.001(0.0)
client_java,<0.001(1.0),<0.001(1.0),<0.001(1.0)
crate,<0.001(0.96),0.015(0.73),<0.001(0.81)
eclipse-collections,<0.001(0.95),0.001(0.88),<0.001(0.95)
h2o-3,0.133(0.69),<0.001(0.17),0.001(0.29)
hazelcast,0.19(0.21),0.005(0.18),0.19(0.25)
HdrHistogram,<0.001(0.04),<0.001(0.0),<0.001(0.0)
hive,<0.001(0.05),<0.001(0.05),<0.001(0.05)
imglib2,0.33(0.4),0.927(0.4),0.475(0.4)
JCTools,0.368(0.65),<0.001(0.04),0.021(0.28)
jdbi,0.008(0.75),0.188(0.47),0.055(0.71)
jetty.project,0.018(0.18),<0.001(0.12),0.023(0.16)
jgrapht,0.007(0.79),0.036(0.27),0.245(0.35)
kafka,<0.001(0.95),<0.001(0.0),<0.001(0.95)
logbook,0.475(0.52),<0.001(0.0),0.009(0.2)
logging-log4j2,<0.001(0.9),0.008(0.86),<0.001(0.9)
netty,0.001(0.77),0.177(0.4),0.004(0.74)
presto,0.43(0.38),<0.001(0.16),<0.001(0.16)
protostuff,<0.001(0.0),<0.001(0.0),<0.001(0.0)
r2dbc-h2,<0.001(0.0),<0.001(0.0),<0.001(0.0)
rdf4j,0.729(0.53),<0.001(0.1),0.546(0.3)
RoaringBitmap,<0.001(1.0),<0.001(0.98),<0.001(0.96)
RxJava,0.024(0.38),<0.001(0.22),<0.001(0.15)
SquidLib,0.021(0.7),<0.001(0.18),0.165(0.35)
tinkerpop,<0.001(0.94),<0.001(0.0),<0.001(0.95)
vert.x,<0.001(0.0),<0.001(0.0),<0.001(0.0)
zipkin,<0.001(0.12),<0.001(0.0),<0.001(0.05)
Total,<0.001(0.57),<0.001(0.37),<0.001(0.48)
